scenario,start,duration_s,anchor_notes
S01,0,120,"red pickup co-visible across all cams ~01:35; ~15 vehicles co-visible during window"
S02,,,
S03,,,
S04,,,
S05,,,
S06,,,
S07,,,
S08,,,
S09,,,
S10,20,120, rusty pickup co-visible across all cams ~00:20; ~roughly 40 vehicles co-visible during window
S11,23,120, grey sedan looking vehicle co-visible across all cams ~00:23; ~roughly 50 vehicles co-visible during window
S12,25,300, white SUV  co-visible across all cams ~00:25; ~roughly 30 vehicles co-visible during window
S13,44,120, black pickup co-visible across all cams ~00:44; ~roughly 35 vehicles co-visible during window
S14,38,120,blue suv co-visible across all cams ~00:38; ~roughly 33 vehicles co-visible during window
S15,7,120, grey sedan co-visible across all cams ~00:07; ~roughly 65 vehicles co-visible during window
S16,1,120, black SUV with trailer co-visible across all cams ~00:01; ~roughly 23 vehicles co-visible during window
S17,10,120, white SUV co-visible across all cams ~00:10; ~roughly 40 vehicles co-visible during window
S18,7,240, Red car co-visible across all cams ~00:07; ~roughly 20 vehicles co-visible during window
