scenario,start,duration_s,anchor_notes
S01,0,150,red jeep co-visible across all cams ~00:54; ~30 vehicles co-visible during window
S02,125,245,short bus co-visible across all cams ~02:38; ~50 vehicles co-visible during window
S03,195,325,travel bus co-visible across all cams ~03:47; ~17 vehicles co-visible during window
S04,447,574,dump truck co-visible across all cams ~07:56; ~28 vehicles co-visible during window
S05,210,330,powder blue hatchback  co-visible across all cams ~04:01; ~30 vehicles co-visible during window
S06,120,240,yellow dump truck co-visible across all cams ~02:31; ~35 vehicles co-visible during window
S07,360,480,green charger co-visible across all cams ~06:26; ~50 vehicles co-visible during window
S08,80,200,yellow camaro co-visible across all cams ~01:51; ~35 vehicles co-visible during window
S09,378,498,red mini cooper co-visible across all cams ~06:47; ~35 vehicles co-visible during window
S10,,,
S11,,,
S12,,,
S13,,,
S14,,,
S15,,,
S16,,,
S17,,,
S18,,,
