scenario,epsilon,poison_cameras,z_threshold,n_cameras,tp,fp,fn,tn,precision,recall,f1,cameras_flagged
S01,0.1,c01,1.25,3,1,1,0,1,0.5,1.0,0.6666666666666666,"c01,c03"
S01,0.5,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S01,1.0,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S02,0.1,c01,1.25,3,1,1,0,1,0.5,1.0,0.6666666666666666,"c01,c03"
S02,0.5,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S02,1.0,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S03,0.1,c01,1.25,3,0,1,1,1,0.0,0.0,0.0,c03
S03,0.5,c01,1.25,3,1,1,0,1,0.5,1.0,0.6666666666666666,"c01,c03"
S03,1.0,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S04,0.1,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S04,0.5,c01,1.25,3,1,1,0,1,0.5,1.0,0.6666666666666666,"c01,c03"
S04,1.0,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S05,0.1,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S05,0.5,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S05,1.0,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S06,0.1,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S06,0.5,c01,1.25,3,0,0,1,2,0.0,0.0,0.0,none
S06,1.0,c01,1.25,3,0,0,1,2,0.0,0.0,0.0,none
S07,0.1,c01,1.25,3,1,1,0,1,0.5,1.0,0.6666666666666666,"c01,c02"
S07,0.5,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S07,1.0,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S08,0.1,c01,1.25,3,0,1,1,1,0.0,0.0,0.0,c03
S08,0.5,c01,1.25,3,0,0,1,2,0.0,0.0,0.0,none
S08,1.0,c01,1.25,3,0,0,1,2,0.0,0.0,0.0,none
S11,0.1,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S11,0.5,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S11,1.0,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S13,0.1,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S13,0.5,c01,1.25,3,1,1,0,1,0.5,1.0,0.6666666666666666,"c01,c03"
S13,1.0,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S14,0.1,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S14,0.5,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S14,1.0,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S15,0.1,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S15,0.5,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S15,1.0,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S16,0.1,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S16,0.5,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S16,1.0,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S17,0.1,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S17,0.5,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
S17,1.0,c01,1.25,3,1,0,0,2,1.0,1.0,1.0,c01
